patch,comp,pick_rate,avg_placement,top4_rate,win_rate
16.1c,Freljord Tryndamere Reroll,0.41,4.16,58.4,9.62
16.1c,Void Baron Nashor,0.52,4.17,54.6,17.2
16.1c,Ionia Yunara,1.24,4.19,56.3,12.1
16.1c,Ap Demacia,0.09,4.23,56.2,10.7
16.1c,Noxus Kindred,0.84,4.29,53.9,14.3
16.1c,Ionia Yasuo Reroll,0.08,4.30,54.1,12.1
16.1c,Piltover T-Hex,0.85,4.30,50.9,21.7
16.1c,Bilgewater Value,0.41,4.41,50.0,15.5
16.1c,Vayne Demacia,0.30,4.44,53.1,6.56
16.1c,Shurima Diana,0.49,4.49,50.9,9.64
16.1c,Yordle Veigar,0.07,4.63,45.9,14.1
16.1c,Bruiser Aphelios Reroll,0.10,4.74,46.3,6.35
16.1c,Shadow Isles,0.08,4.76,44.6,5.51
16.1c,Freljord Ryze,0.22,4.92,41.6,8.87
16.1c,Ixtal Brock,0.10,5.40,34.0,14.0
16.1c,Yordle Reroll,0.04,5.42,31.9,5.75
16.1c,Ixtal Reroll,0.03,5.96,24.0,6.86
16.2,Demacia Sona Reroll,0.40,4.00,61.0,12.1
16.2,Ap Demacia,0.06,4.06,60.2,13.2
16.2,Bilgewater Illaoi Reroll,0.12,4.10,55.9,20.2
16.2,Ionia Ziggs & Ryze,0.74,4.16,55.5,18.4
16.2,Shadow Isles,0.24,4.16,56.8,11.1
16.2,Zaun Ekko Reroll,0.34,4.17,58.1,8.55
16.2,Noxus Belveth & Gangplank,0.10,4.26,55.9,9.72
16.2,Ixtal Aphelios Reroll,0.03,4.27,56.3,6.96
16.2,Ionia Yunara,0.59,4.31,53.4,12.6
16.2,Bilgewater Value,0.60,4.32,51.6,17.6
16.2,Yordle Veigar,0.39,4.39,50.4,19.3
16.2,Noxus Mel,0.16,4.43,50.4,10.1
16.2,Void Baron,0.46,4.47,49.4,12.4
16.2,Zaun Jinx Reroll,0.08,4.57,49.8,4.51
16.2,Vayne Demacia,0.22,4.61,49.1,6.36
16.2,Bruiser Aphelios Reroll,0.12,4.70,46.9,7.31
16.2,Ixtal Brock,0.15,4.96,41.5,13.8
